date,location_name,iso2_code,target_group,dose,doses_administered
2023-10-31,Malta,MT,Age80+,,76
2023-10-31,Netherlands,NL,Age80+,,390158
2023-10-31,Norway,NO,Age80+,,71096
2023-10-31,Poland,PL,Age80+,,618
2023-10-31,Portugal,PT,Age80+,,296011
2023-10-31,Sweden,SE,Age80+,,27418
2023-10-31,Slovenia,SI,Age80+,,3763
2023-10-31,Slovakia,SK,Age80+,,1214
2023-10-31,Bulgaria,BG,Age<18,,230
2023-10-31,Spain,ES,Age<18,,3026
2023-10-31,Bulgaria,BG,AgeUNK,,0
2023-10-31,Estonia,EE,AgeUNK,,0
2023-10-31,Greece,GR,AgeUNK,,0
2023-10-31,Spain,ES,AgeUNK,,0
2023-10-31,Finland,FI,AgeUNK,,0
2023-10-31,Hungary,HU,AgeUNK,,0
2023-10-31,Ireland,IE,AgeUNK,,0
2023-10-31,Iceland,IS,AgeUNK,,0
2023-10-31,Liechtenstein,LI,AgeUNK,,0
2023-10-31,Malta,MT,AgeUNK,,0
2023-10-31,Portugal,PT,AgeUNK,,0
2023-10-31,Cyprus,CY,Chronic,,446
2023-10-31,Czechia,CZ,Chronic,,12986
2023-10-31,Greece,GR,Chronic,,0
2023-10-31,Spain,ES,Chronic,,51893
2023-10-31,Ireland,IE,Chronic,,3636
2023-10-31,Iceland,IS,Chronic,,0
2023-10-31,Malta,MT,Chronic,,0
2023-10-31,Portugal,PT,Chronic,,65782
2023-10-31,Belgium,BE,HCW,,86721
2023-10-31,Bulgaria,BG,HCW,,704
2023-10-31,Cyprus,CY,HCW,,51
2023-10-31,Czechia,CZ,HCW,,11256
2023-10-31,Greece,GR,HCW,,1709
2023-10-31,Spain,ES,HCW,,152964
2023-10-31,France,FR,HCW,,23341
2023-10-31,Ireland,IE,HCW,,23813
2023-10-31,Iceland,IS,HCW,,0
2023-10-31,Malta,MT,HCW,,0
2023-10-31,Norway,NO,HCW,,1669
2023-10-31,Portugal,PT,HCW,,52051
2023-10-31,Greece,GR,Pregnant,,0
2023-10-31,Spain,ES,Pregnant,,2415
2023-10-31,Ireland,IE,Pregnant,,6287
2023-10-31,Iceland,IS,Pregnant,,0
2023-10-31,Malta,MT,Pregnant,,0
2023-10-31,Portugal,PT,Pregnant,,1409
2023-11-30,Belgium,BE,ALL,,210240
2023-11-30,Bulgaria,BG,ALL,,22957
2023-11-30,Cyprus,CY,ALL,,1209
2023-11-30,Czechia,CZ,ALL,,123282
2023-11-30,Germany,DE,ALL,,1657331
2023-11-30,Denmark,DK,ALL,,318034
2023-11-30,Estonia,EE,ALL,,27215
2023-11-30,Greece,GR,ALL,,80754
2023-11-30,Spain,ES,ALL,,3002993
2023-11-30,Finland,FI,ALL,,699821
2023-11-30,France,FR,ALL,,2033874
