YearWeekISO,ReportingCountry,Denominator,NumberOfIndivOneDose,Region,TargetGroup,Vaccine,Population
2023-11,CY,,334,CY,Chronic,COMXBB,920701
2023-12,CY,,0,CY,HCW,NVXDXBB,920701
2023-09,CZ,,909,,ALL,COMBA.4-5,10827529
2023-09,CZ,,11,,ALL,MODBA.4-5,10827529
2023-10,CZ,,1324,,ALL,COMBA.1,10827529
2023-10,CZ,,99,,ALL,MOD,10827529
2023-12,CZ,,32606,,ALL,COMXBB,10827529
2023-09,CZ,,981,,ALL,COM,10827529
2023-09,CZ,,11999,,ALL,COMXBB,10827529
2023-10,CZ,,42,,ALL,MODBA.1,10827529
2023-10,CZ,,60,,ALL,MODBA.4-5,10827529
2023-09,CZ,,15,,ALL,MODBA.1,10827529
2023-11,CZ,,104,,ALL,MOD,10827529
2023-11,CZ,,15,,ALL,MODBA.1,10827529
2023-11,CZ,,1112,,ALL,COMBA.1,10827529
2023-11,CZ,,114664,,ALL,COMXBB,10827529
2023-09,CZ,,80,,ALL,COMBA.1,10827529
2023-09,CZ,,7,,ALL,MOD,10827529
2023-11,CZ,,68,,ALL,MODBA.4-5,10827529
2024-02,CZ,,40,,Age70_79,OTHER,10827529
2024-01,CZ,,5524,,Age70_79,COMXBB,10827529
2024-03,CZ,,4,,Age70_79,NVXDXBB,10827529
2023-10,CZ,,860,,Age70_79,COMBA.4-5,10827529
2023-11,CZ,,445,,Age70_79,COMBA.1,10827529
2023-11,CZ,,45042,,Age70_79,COMXBB,10827529
2023-09,CZ,,30,,Age70_79,COMBA.1,10827529
2023-09,CZ,,3,,Age70_79,MODBA.1,10827529
2023-11,CZ,,29,,Age70_79,MODBA.4-5,10827529
2024-03,CZ,,161,,Age70_79,COMXBB,10827529
2024-01,CZ,,327,,Age70_79,OTHER,10827529
2023-10,CZ,,39,,Age70_79,MOD,10827529
2023-10,CZ,,17,,Age70_79,MODBA.1,10827529
2023-09,CZ,,3,,Age70_79,MOD,10827529
2023-10,CZ,,67991,,Age70_79,COMXBB,10827529
2023-09,CZ,,263,,Age70_79,COMBA.4-5,10827529
2023-10,CZ,,555,,Age70_79,COMBA.1,10827529
2023-11,CZ,,698,,Age70_79,COMBA.4-5,10827529
2023-11,CZ,,34,,Age70_79,MOD,10827529
2023-12,CZ,,784,,Age70_79,OTHER,10827529
2023-12,CZ,,12088,,Age70_79,COMXBB,10827529
2023-10,CZ,,4234,,Age70_79,COM,10827529
2023-10,CZ,,33,,Age70_79,MODBA.4-5,10827529
2023-11,CZ,,2278,,Age70_79,COM,10827529
2023-12,CZ,,1961,,ALL,OTHER,10827529
2023-09,CZ,,1,,ALL,JANSS,10827529
2023-12,CZ,,29,,ALL,NVXDXBB,10827529
2024-01,CZ,,267,,ALL,NVXDXBB,10827529
2023-10,CZ,,9679,,ALL,COM,10827529
