"rep","month","VE_inf","VE_sev"
127,1,0.768350972101082,0.779008961103345
127,2,0.768116393875829,0.778771128984707
127,3,0.767518865962866,0.77816531261223
127,4,0.766428532022354,0.777059854376222
127,5,0.764745054216751,0.775353024627837
127,6,0.76239363232381,0.772968985572187
127,7,0.759321458764473,0.769854197123043
127,8,0.755494567011895,0.765974221595351
127,9,0.75089503470247,0.761310888019904
127,10,0.745518506292556,0.755859780436222
127,11,0.739372003323196,0.749628017782904
127,12,0.732471993294649,0.742632295985035
127,13,0.724842690836371,0.73489716555927
127,14,0.71651456730743,0.726453520540536
127,15,0.707523047196961,0.717337276799941
127,16,0.697907371732151,0.707588219889575
127,17,0.687709611958932,0.697249004433397
127,18,0.676973815253354,0.686364288799655
127,19,0.665745270763412,0.674979990353474
127,20,0.654069880684808,0.663142648011421
127,21,0.641993625551455,0.650898880114925
127,22,0.629562112883376,0.638294926817357
127,23,0.61682019959085,0.625376267250445
127,24,0.603811679493344,0.612187302708708
127,25,0.590579028183346,0.598771097974229
127,26,0.577163198256212,0.585169173706082
127,27,0.563603458644695,0.571421343546234
127,28,0.549937272447301,0.557565590253225
127,29,0.536200208228894,0.5436379757724
127,30,0.522425880305524,0.529672580692416
127,31,0.508645914008092,0.51570146902707
127,32,0.494889932355866,0.501754674703957
127,33,0.481185560965029,0.487860206541111
127,34,0.467558448373231,0.474044068853478
127,35,0.454032299282002,0.460330295156449
127,36,0.440628918507986,0.446740992726745
128,0,0.763976515985907,0.791215313136552
128,1,0.763890771663085,0.791126511688062
128,2,0.763334865516075,0.790550785278968
128,3,0.761950185833475,0.789116736266024
128,4,0.75948077743898,0.786559283654289
128,5,0.755755142296408,0.782700814821437
128,6,0.750670683343003,0.77743507471193
128,7,0.744180448330589,0.77071343704346
128,8,0.736281871914142,0.762533245006265
128,9,0.727007250926415,0.752927946943461
128,10,0.716415720241892,0.741958786122679
128,11,0.704586525333713,0.729707833432923
128,12,0.691613412982501,0.716272178099887
128,13,0.677599983980394,0.701759114695431
