DATAFLOW,LAST UPDATE,freq,unit,month,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Hungary,2015,8050,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Hungary,2016,8025,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Hungary,2017,8089,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Hungary,2018,8148,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Hungary,2019,7782,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Hungary,2020,8255,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Hungary,2021,7475,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Hungary,2022,6744,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Hungary,2023,7809,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Hungary,2024,6930,p,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Ireland,2015,5613,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Ireland,2016,5318,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Ireland,2017,5216,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Ireland,2018,5169,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Ireland,2019,5166,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Ireland,2020,4974,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Ireland,2021,4751,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Ireland,2022,4920,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Ireland,2023,4551,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Ireland,2024,5281,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Iceland,2015,340,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Iceland,2016,331,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Iceland,2017,322,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Iceland,2018,317,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Iceland,2019,349,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Iceland,2020,390,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Iceland,2021,378,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Iceland,2022,387,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Iceland,2023,354,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Iceland,2024,310,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Italy,2015,41861,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Italy,2016,38641,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Italy,2017,39265,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Italy,2018,40539,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Italy,2019,36712,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Italy,2020,36077,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Italy,2021,31321,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Italy,2022,32497,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Italy,2023,33357,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Italy,2024,32526,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Liechtenstein,2015,21,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Liechtenstein,2016,28,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Liechtenstein,2017,25,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Liechtenstein,2018,29,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Liechtenstein,2019,29,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Liechtenstein,2020,27,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Liechtenstein,2021,30,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Liechtenstein,2022,22,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Liechtenstein,2023,29,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Liechtenstein,2024,27,p,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Lithuania,2015,2448,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Lithuania,2016,2440,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Lithuania,2017,2331,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Lithuania,2018,2287,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Lithuania,2019,2072,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Lithuania,2020,1914,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Lithuania,2021,1768,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Lithuania,2022,1799,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Lithuania,2023,1818,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Lithuania,2024,1561,p,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Luxembourg,2015,493,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Luxembourg,2016,515,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Luxembourg,2017,533,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Luxembourg,2018,545,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Luxembourg,2019,502,,
ESTAT:DEMO_FMONTH(1.0),15/05/25 23:00:00,Annual,Number,January,Luxembourg,2020,508,,
