country,age_group,target_end_date,year_week,week,year,weekly_rsv_hospitalisations
Denmark,total,2025-10-12,2025-W41,41,2025,42
Denmark,total,2025-10-19,2025-W42,42,2025,64
Denmark,total,2025-10-26,2025-W43,43,2025,103
Denmark,total,2025-11-02,2025-W44,44,2025,143
Denmark,total,2025-11-09,2025-W45,45,2025,198
Denmark,total,2025-11-16,2025-W46,46,2025,261
Denmark,total,2025-11-23,2025-W47,47,2025,310
Denmark,total,2025-11-30,2025-W48,48,2025,363
Denmark,total,2025-12-07,2025-W49,49,2025,369
Denmark,total,2025-12-14,2025-W50,50,2025,383
Denmark,total,2025-12-21,2025-W51,51,2025,357
Denmark,total,2025-12-28,2025-W52,52,2025,320
Denmark,total,2026-01-04,2026-W1,1,2026,282
Denmark,total,2026-01-11,2026-W2,2,2026,216
Denmark,total,2026-01-18,2026-W3,3,2026,168
Denmark,total,2026-01-25,2026-W4,4,2026,153
Denmark,total,2026-02-01,2026-W5,5,2026,128
Denmark,total,2026-02-08,2026-W6,6,2026,113
Denmark,total,2026-02-15,2026-W7,7,2026,100
Denmark,total,2026-02-22,2026-W8,8,2026,93
Denmark,total,2026-03-01,2026-W9,9,2026,83
Denmark,total,2026-03-08,2026-W10,10,2026,68
Denmark,total,2026-03-15,2026-W11,11,2026,59
Denmark,total,2026-03-22,2026-W12,12,2026,51
Denmark,total,2026-03-29,2026-W13,13,2026,44
Denmark,total,2026-04-05,2026-W14,14,2026,36
Denmark,total,2026-04-12,2026-W15,15,2026,30
Denmark,total,2026-04-19,2026-W16,16,2026,26
Denmark,total,2026-04-26,2026-W17,17,2026,20
Denmark,total,2026-05-03,2026-W18,18,2026,18
Estonia,total,2025-09-07,2025-W36,36,2025,0
Estonia,total,2025-09-14,2025-W37,37,2025,0
Estonia,total,2025-09-21,2025-W38,38,2025,0
Estonia,total,2025-09-28,2025-W39,39,2025,0
Estonia,total,2025-10-05,2025-W40,40,2025,2
Estonia,total,2025-10-12,2025-W41,41,2025,6
Estonia,total,2025-10-19,2025-W42,42,2025,10
Estonia,total,2025-10-26,2025-W43,43,2025,18
Estonia,total,2025-11-02,2025-W44,44,2025,25
Estonia,total,2025-11-09,2025-W45,45,2025,36
Estonia,total,2025-11-16,2025-W46,46,2025,48
Estonia,total,2025-11-23,2025-W47,47,2025,58
Estonia,total,2025-11-30,2025-W48,48,2025,71
Estonia,total,2025-12-07,2025-W49,49,2025,73
Estonia,total,2025-12-14,2025-W50,50,2025,74
Estonia,total,2025-12-21,2025-W51,51,2025,68
Estonia,total,2025-12-28,2025-W52,52,2025,63
Estonia,total,2026-01-04,2026-W1,1,2026,54
Estonia,total,2026-01-11,2026-W2,2,2026,40
Estonia,total,2026-01-18,2026-W3,3,2026,30
Estonia,total,2026-01-25,2026-W4,4,2026,27
Estonia,total,2026-02-01,2026-W5,5,2026,20
Estonia,total,2026-02-08,2026-W6,6,2026,19
Estonia,total,2026-02-15,2026-W7,7,2026,17
Estonia,total,2026-02-22,2026-W8,8,2026,16
Estonia,total,2026-03-01,2026-W9,9,2026,12
Estonia,total,2026-03-08,2026-W10,10,2026,11
Estonia,total,2026-03-15,2026-W11,11,2026,8
Estonia,total,2026-03-22,2026-W12,12,2026,8
Estonia,total,2026-03-29,2026-W13,13,2026,6
Estonia,total,2026-04-05,2026-W14,14,2026,3
Estonia,total,2026-04-12,2026-W15,15,2026,2
Estonia,total,2026-04-19,2026-W16,16,2026,2
Estonia,total,2026-04-26,2026-W17,17,2026,2
Estonia,total,2026-05-03,2026-W18,18,2026,1
Finland,total,2025-09-07,2025-W36,36,2025,2
Finland,total,2025-09-14,2025-W37,37,2025,4
Finland,total,2025-09-21,2025-W38,38,2025,6
Finland,total,2025-09-28,2025-W39,39,2025,11
Finland,total,2025-10-05,2025-W40,40,2025,17
Finland,total,2025-10-12,2025-W41,41,2025,29
Finland,total,2025-10-19,2025-W42,42,2025,47
Finland,total,2025-10-26,2025-W43,43,2025,73
Finland,total,2025-11-02,2025-W44,44,2025,103
Finland,total,2025-11-09,2025-W45,45,2025,144
Finland,total,2025-11-16,2025-W46,46,2025,190
Finland,total,2025-11-23,2025-W47,47,2025,224
Finland,total,2025-11-30,2025-W48,48,2025,264
Finland,total,2025-12-07,2025-W49,49,2025,267
Finland,total,2025-12-14,2025-W50,50,2025,277
Finland,total,2025-12-21,2025-W51,51,2025,258
Finland,total,2025-12-28,2025-W52,52,2025,232
Finland,total,2026-01-04,2026-W1,1,2026,203
Finland,total,2026-01-11,2026-W2,2,2026,157
Finland,total,2026-01-18,2026-W3,3,2026,122
Finland,total,2026-01-25,2026-W4,4,2026,107
Finland,total,2026-02-01,2026-W5,5,2026,92
Finland,total,2026-02-08,2026-W6,6,2026,81
Finland,total,2026-02-15,2026-W7,7,2026,72
Finland,total,2026-02-22,2026-W8,8,2026,69
Finland,total,2026-03-01,2026-W9,9,2026,60
Finland,total,2026-03-08,2026-W10,10,2026,48
Finland,total,2026-03-15,2026-W11,11,2026,42
Finland,total,2026-03-22,2026-W12,12,2026,35
Finland,total,2026-03-29,2026-W13,13,2026,32
Finland,total,2026-04-05,2026-W14,14,2026,26
Finland,total,2026-04-12,2026-W15,15,2026,22
Finland,total,2026-04-19,2026-W16,16,2026,20
Finland,total,2026-04-26,2026-W17,17,2026,14
Finland,total,2026-05-03,2026-W18,18,2026,13
France,total,2025-09-07,2025-W36,36,2025,113
France,total,2025-09-14,2025-W37,37,2025,129
France,total,2025-09-21,2025-W38,38,2025,171
France,total,2025-09-28,2025-W39,39,2025,258
France,total,2025-10-05,2025-W40,40,2025,375
France,total,2025-10-12,2025-W41,41,2025,610
France,total,2025-10-19,2025-W42,42,2025,899
France,total,2025-10-26,2025-W43,43,2025,1399
France,total,2025-11-02,2025-W44,44,2025,1916
France,total,2025-11-09,2025-W45,45,2025,2628
France,total,2025-11-16,2025-W46,46,2025,3455
France,total,2025-11-23,2025-W47,47,2025,4083
France,total,2025-11-30,2025-W48,48,2025,4773
France,total,2025-12-07,2025-W49,49,2025,4850
France,total,2025-12-14,2025-W50,50,2025,5032
France,total,2025-12-21,2025-W51,51,2025,4685
France,total,2025-12-28,2025-W52,52,2025,4222
France,total,2026-01-04,2026-W1,1,2026,3716
France,total,2026-01-11,2026-W2,2,2026,2870
France,total,2026-01-18,2026-W3,3,2026,2235
France,total,2026-01-25,2026-W4,4,2026,2026
France,total,2026-02-01,2026-W5,5,2026,1756
France,total,2026-02-08,2026-W6,6,2026,1529
France,total,2026-02-15,2026-W7,7,2026,1360
France,total,2026-02-22,2026-W8,8,2026,1294
France,total,2026-03-01,2026-W9,9,2026,1123
France,total,2026-03-08,2026-W10,10,2026,934
