survtype,location_name,iso2_code,yearweek,week_end_date,indicator,age,value
non-sentinel,Austria,AT,2022-W26,2022-07-03,deaths,65+,42
non-sentinel,Austria,AT,2022-W26,2022-07-03,deaths,total,49
non-sentinel,Austria,AT,2022-W25,2022-06-26,deaths,0-4,0
non-sentinel,Austria,AT,2022-W25,2022-06-26,deaths,15-64,4
non-sentinel,Austria,AT,2022-W25,2022-06-26,deaths,5-14,0
non-sentinel,Austria,AT,2022-W25,2022-06-26,deaths,65+,34
non-sentinel,Austria,AT,2022-W25,2022-06-26,deaths,total,38
non-sentinel,Austria,AT,2022-W24,2022-06-19,deaths,0-4,0
non-sentinel,Austria,AT,2022-W24,2022-06-19,deaths,15-64,5
non-sentinel,Austria,AT,2022-W24,2022-06-19,deaths,5-14,0
non-sentinel,Austria,AT,2022-W24,2022-06-19,deaths,65+,23
non-sentinel,Austria,AT,2022-W24,2022-06-19,deaths,total,28
non-sentinel,Austria,AT,2022-W23,2022-06-12,deaths,0-4,0
non-sentinel,Austria,AT,2022-W23,2022-06-12,deaths,15-64,2
non-sentinel,Austria,AT,2022-W23,2022-06-12,deaths,5-14,0
non-sentinel,Austria,AT,2022-W23,2022-06-12,deaths,65+,22
non-sentinel,Austria,AT,2022-W23,2022-06-12,deaths,total,24
non-sentinel,Austria,AT,2022-W22,2022-06-05,deaths,0-4,0
non-sentinel,Austria,AT,2022-W22,2022-06-05,deaths,15-64,1
non-sentinel,Austria,AT,2022-W22,2022-06-05,deaths,5-14,0
non-sentinel,Austria,AT,2022-W22,2022-06-05,deaths,65+,23
non-sentinel,Austria,AT,2022-W22,2022-06-05,deaths,total,24
non-sentinel,Austria,AT,2022-W21,2022-05-29,deaths,0-4,0
non-sentinel,Austria,AT,2022-W21,2022-05-29,deaths,15-64,6
non-sentinel,Austria,AT,2022-W21,2022-05-29,deaths,5-14,0
non-sentinel,Austria,AT,2022-W21,2022-05-29,deaths,65+,27
non-sentinel,Austria,AT,2022-W21,2022-05-29,deaths,total,33
non-sentinel,Austria,AT,2022-W20,2022-05-22,deaths,0-4,0
non-sentinel,Austria,AT,2022-W20,2022-05-22,deaths,15-64,1
non-sentinel,Austria,AT,2022-W20,2022-05-22,deaths,5-14,0
non-sentinel,Austria,AT,2022-W20,2022-05-22,deaths,65+,35
non-sentinel,Austria,AT,2022-W20,2022-05-22,deaths,total,36
non-sentinel,Austria,AT,2022-W19,2022-05-15,deaths,0-4,0
non-sentinel,Austria,AT,2022-W19,2022-05-15,deaths,15-64,3
non-sentinel,Austria,AT,2022-W19,2022-05-15,deaths,5-14,0
non-sentinel,Austria,AT,2022-W19,2022-05-15,deaths,65+,39
non-sentinel,Austria,AT,2022-W19,2022-05-15,deaths,total,42
non-sentinel,Austria,AT,2022-W18,2022-05-08,deaths,0-4,0
non-sentinel,Austria,AT,2022-W18,2022-05-08,deaths,15-64,6
non-sentinel,Austria,AT,2022-W18,2022-05-08,deaths,5-14,0
non-sentinel,Austria,AT,2022-W18,2022-05-08,deaths,65+,74
non-sentinel,Austria,AT,2022-W18,2022-05-08,deaths,total,80
non-sentinel,Austria,AT,2022-W17,2022-05-01,deaths,0-4,0
non-sentinel,Austria,AT,2022-W17,2022-05-01,deaths,15-64,8
non-sentinel,Austria,AT,2022-W17,2022-05-01,deaths,5-14,0
non-sentinel,Austria,AT,2022-W17,2022-05-01,deaths,65+,83
non-sentinel,Austria,AT,2022-W17,2022-05-01,deaths,total,91
non-sentinel,Austria,AT,2022-W16,2022-04-24,deaths,0-4,0
non-sentinel,Austria,AT,2022-W16,2022-04-24,deaths,15-64,12
non-sentinel,Austria,AT,2022-W16,2022-04-24,deaths,5-14,0
non-sentinel,Austria,AT,2022-W16,2022-04-24,deaths,65+,117
non-sentinel,Austria,AT,2022-W16,2022-04-24,deaths,total,129
non-sentinel,Austria,AT,2022-W15,2022-04-17,deaths,0-4,0
non-sentinel,Austria,AT,2022-W15,2022-04-17,deaths,15-64,13
